asset_id,name_zh,rank
Alien,未知生物细胞,1
AutoHPRegeneRate_Passive,疗愈教练,3
CoolTimeReduction_Down_1,慢性子,-1
CoolTimeReduction_Up_1,沉着冷静,3
CoolTimeReduction_Up_2,急性子,1
CraftSpeed_down1,笨手笨脚,-1
CraftSpeed_down2,偷懒成瘾,-3
CraftSpeed_up1,认真,1
CraftSpeed_up2,工匠精神,3
CraftSpeed_up3,卓绝技艺,4
Deffence_down1,弱不禁风,-1
Deffence_down2,骨质疏松,-3
Deffence_up1,坚硬皮肤,1
Deffence_up2,顽强肉体,3
Deffence_up2_2,重量级,2
Deffence_up3,金刚之躯,4
ElementBoost_Aqua_1_PAL,喜欢戏水,1
ElementBoost_Aqua_2_PAL,海皇,3
ElementBoost_Dark_1_PAL,夜幕,1
ElementBoost_Dark_2_PAL,冥王,3
ElementBoost_Dragon_1_PAL,龙之血脉,1
ElementBoost_Dragon_2_PAL,神龙,3
ElementBoost_Earth_1_PAL,大地之力,1
ElementBoost_Earth_2_PAL,岩帝,3
ElementBoost_Fire_1_PAL,喜欢玩火,1
ElementBoost_Fire_2_PAL,炎帝,3
ElementBoost_Ice_1_PAL,冷血,1
ElementBoost_Ice_2_PAL,冰帝,3
ElementBoost_Leaf_1_PAL,草木馨香,1
ElementBoost_Leaf_2_PAL,精灵王,3
ElementBoost_Normal_1_PAL,禅境,1
ElementBoost_Normal_2_PAL,圣天,3
ElementBoost_Thunder_1_PAL,电容,1
ElementBoost_Thunder_2_PAL,雷帝,3
ElementResist_Aqua_1_PAL,防水性能,1
ElementResist_Dark_1_PAL,阳光开朗,1
ElementResist_Dragon_1_PAL,屠龙者,1
ElementResist_Earth_1_PAL,抗震结构,1
ElementResist_Fire_1_PAL,拥抱烈日,1
ElementResist_Ice_1_PAL,高温体质,1
ElementResist_Leaf_1_PAL,除草效果,1
ElementResist_Normal_1_PAL,一反常态,1
ElementResist_Thunder_1_PAL,绝缘体,1
EternalFlame,永炎,4
Invader,侵略者,4
Legend,传说,4
MiniNushi,大猎物,3
MoveSpeed_up_1,灵活,1
MoveSpeed_up_2,运动健将,3
MoveSpeed_up_3,神速,4
MutationPal_Babysitter,育婴师,4
MutationPal_ExplosionResist,重装甲,4
MutationPal_Immortal,不死之身,4
MutationPal_Mutant,特殊体质,4
NightOwl,夜猫子,-1
Nocturnal,不眠,1
NonKilling,手下留情,-1
Noukin,脑筋,2
Nushi,湖之主,4
PAL_ALLAttack_down1,胆小,-1
PAL_ALLAttack_down2,消极主义者,-3
PAL_ALLAttack_up1,勇敢,1
PAL_ALLAttack_up2,凶猛,3
PAL_ALLAttack_up3,鬼神,4
PAL_conceited,自恋狂,1
PAL_CorporateSlave,社畜,1
PAL_FullStomach_Down_1,小胃,1
PAL_FullStomach_Down_2,节食大师,3
PAL_FullStomach_Down_3,极限绝食,4
PAL_FullStomach_Up_1,贪吃,-1
PAL_FullStomach_Up_2,无底之胃,-2
PAL_masochist,受虐狂,1
PAL_oraora,强势,1
PAL_rude,粗暴,1
PAL_sadist,虐待狂,1
PAL_Sanity_Down_1,积极思维,1
PAL_Sanity_Down_2,工作狂,3
PAL_Sanity_Down_3,明镜止水,4
PAL_Sanity_Up_1,情绪不稳,-1
PAL_Sanity_Up_2,毁灭欲望,-2
PlayerSP_DecreaseRate_Passive,防过劳帮手,3
Rare,稀有,4
ReloadSpeedUp_Passive,装填大师,3
RideJumpCount_Increase1,身轻如燕,4
RideJumpCount_Increase2,凌空微步,4
SalePrice_Down_1,寒酸,-1
SalePrice_Up_1,高贵,3
SalePrice_Up_2,贵族,1
Salvation,救世主,4
SelfDeathAddItemDrop_up_2,奉献精神,3
SelfDeathAddItemDrop_up_3,慷慨就义,4
Stamina_Down_1,家里蹲,-1
Stamina_Up_1,无限精力,3
Stamina_Up_2,健康宝宝,1
Stamina_Up_3,永动机,4
SwimSpeed_up_1,悠然泳姿,1
SwimSpeed_up_2,游泳健将,3
SwimSpeed_up_3,破浪王者,4
Test_PalEgg_HatchingSpeed_Up,博爱主义者,3
TrainerATK_UP_1,突袭指挥官,3
TrainerDEF_UP_1,铁壁军师,3
TrainerLogging_up1,采伐领袖,3
TrainerMining_up1,矿山首领,3
TrainerWorkSpeed_UP_1,啦啦队,3
Vampire,吸血鬼,4
Witch,魔女,4
WorkSuitabilityAddRank_MonsterFarm_1,牧场之子,3
WorkSuitabilityAddRank_MonsterFarm_2,牧场之主,4
WorldTree_ATK,双刃圣剑,5
WorldTree_ATK_DEF,破坏神,5
WorldTree_CraftSpeed,恶魔之手,5
WorldTree_DEF,守护圣盾,5
WorldTree_FullStomach,神树苗床,5
WorldTree_MoveSpeed,次元跳跃,5
WorldTree_Sanity,仙人,5
